date,game,# of registrations,max ccu,avg ccu,# of unique users, revenue ,# of paying users,paying rate,arpu,arppu
1/1/14,Z Force,456,"2,531","1,665","8,455","$7,160",387,4.58%,$0.85,$18.50
1/1/14,Ranger Danger,"1,529","6,049","4,390","19,176","$16,057","1,235",6.44%,$0.84,$13.00
1/1/14,Queen Bee,219,"4,146","3,576","11,571","$7,410",232,2.01%,$0.64,$31.94
1/2/14,Z Force,435,"2,342","1,428","8,268","$7,665",371,4.49%,$0.93,$20.66
1/2/14,Ranger Danger,"1,891","5,806","4,010","19,356","$14,090","1,105",5.71%,$0.73,$12.75
1/2/14,Queen Bee,232,"4,102","3,069","11,551","$7,248",252,2.18%,$0.63,$28.76
1/3/14,Z Force,627,"2,733","1,613","9,086","$8,700",465,5.12%,$0.96,$18.71
1/3/14,Ranger Danger,"1,121","6,040","4,350","18,407","$14,008","1,169",6.35%,$0.76,$11.98
1/3/14,Queen Bee,246,"4,438","3,521","11,916","$9,273",286,2.40%,$0.78,$32.42
1/4/14,Z Force,492,"2,708","1,705","9,033","$8,333",473,5.24%,$0.92,$17.62
1/4/14,Ranger Danger,"1,611","5,972","4,469","19,078","$14,146","1,217",6.38%,$0.74,$11.62
1/4/14,Queen Bee,231,"6,431","5,647","13,141","$10,435",315,2.40%,$0.79,$33.13
1/5/14,Z Force,464,"2,561","1,638","8,609","$7,639",444,5.16%,$0.89,$17.21
1/5/14,Ranger Danger,"1,548","6,259","4,477","19,301","$13,415","1,224",6.34%,$0.70,$10.96
1/5/14,Queen Bee,202,"4,957","4,218","12,247","$6,187",216,1.76%,$0.51,$28.64
1/6/14,Z Force,423,"2,281","1,280","8,286","$7,283",385,4.65%,$0.88,$18.92
1/6/14,Ranger Danger,"1,291","5,786","4,067","17,913","$14,693","1,115",6.23%,$0.82,$13.18
1/6/14,Queen Bee,202,"4,006","3,450","11,340","$5,695",195,1.72%,$0.50,$29.20
1/7/14,Z Force,381,"2,191","1,263","7,484","$6,513",353,4.72%,$0.87,$18.45
1/7/14,Ranger Danger,"1,283","5,681","3,916","16,993","$13,809","1,042",6.13%,$0.81,$13.25
1/7/14,Queen Bee,199,"3,898","3,331","11,150","$6,384",209,1.87%,$0.57,$30.54
1/8/14,Z Force,363,"2,043","1,166","7,061","$6,058",341,4.83%,$0.86,$17.76
1/8/14,Ranger Danger,"1,509","5,534","3,794","16,984","$12,319","1,025",6.04%,$0.73,$12.02
1/8/14,Queen Bee,176,"3,922","3,336","11,124","$7,579",225,2.02%,$0.68,$33.68
1/9/14,Z Force,309,"2,003","1,117","6,757","$6,039",321,4.75%,$0.89,$18.81
1/9/14,Ranger Danger,"1,233","5,414","3,590","16,313","$11,175",938,5.75%,$0.69,$11.91
1/9/14,Queen Bee,167,"3,506","2,776","10,822","$20,852",409,3.78%,$1.93,$50.98
1/10/14,Z Force,549,"2,108","1,032","7,530","$6,166",327,4.34%,$0.82,$18.86
1/10/14,Ranger Danger,"1,281","5,931","3,404","16,910","$12,410",981,5.80%,$0.73,$12.65
1/10/14,Queen Bee,202,"4,030","3,313","11,514","$16,979",299,2.60%,$1.47,$56.79
1/11/14,Z Force,491,"2,369","1,465","8,291","$6,573",351,4.23%,$0.79,$18.73
1/11/14,Ranger Danger,976,"5,681","3,946","17,701","$11,989",989,5.59%,$0.68,$12.12
1/11/14,Queen Bee,206,"6,172","5,017","12,701","$10,283",236,1.86%,$0.81,$43.57
1/12/14,Z Force,453,"2,383","1,489","7,854","$6,070",371,4.72%,$0.77,$16.36
1/12/14,Ranger Danger,"1,626","5,578","4,087","17,713","$11,720","1,036",5.85%,$0.66,$11.31
1/12/14,Queen Bee,196,"4,509","3,662","11,695","$8,934",174,1.49%,$0.76,$51.35
1/13/14,Z Force,344,"1,740",994,"6,734","$6,932",288,4.28%,$1.03,$24.07
1/13/14,Ranger Danger,"1,464","4,885","3,409","16,552","$10,804",862,5.21%,$0.65,$12.53
1/13/14,Queen Bee,176,"3,788","3,264","11,055","$10,401",193,1.75%,$0.94,$53.89
1/14/14,Z Force,288,"1,952","1,105","6,714","$6,270",320,4.77%,$0.93,$19.59
1/14/14,Ranger Danger,"1,828","5,036","3,588","16,675","$11,760",925,5.55%,$0.71,$12.71
1/14/14,Queen Bee,198,"3,765","3,240","10,994","$8,213",172,1.56%,$0.75,$47.75
1/15/14,Z Force,294,"1,904","1,040","6,403","$6,780",323,5.05%,$1.06,$20.99
1/15/14,Ranger Danger,855,"5,137","3,483","15,196","$10,498",888,5.84%,$0.69,$11.82
1/15/14,Queen Bee,213,"3,647","3,110","10,923","$8,434",157,1.44%,$0.77,$53.72
1/16/14,Z Force,189,"2,029","1,099","6,293","$9,407",426,6.77%,$1.49,$22.08
1/16/14,Ranger Danger,"1,126","5,119","3,091","14,687","$8,702",725,4.94%,$0.59,$12.00
1/16/14,Queen Bee,139,"3,538","2,891","10,717","$13,223",313,2.92%,$1.23,$42.25
1/17/14,Z Force,352,"2,289","1,232","6,965","$7,823",419,6.02%,$1.12,$18.67
1/17/14,Ranger Danger,672,"5,585","3,811","15,981","$11,532",915,5.73%,$0.72,$12.60
1/17/14,Queen Bee,163,"4,272","3,693","11,331","$15,053",311,2.75%,$1.33,$48.40
1/18/14,Z Force,711,"2,653","1,703","8,153","$9,694",539,6.61%,$1.19,$17.98
1/18/14,Ranger Danger,"1,180","5,584","4,256","17,447","$13,240","1,052",6.03%,$0.76,$12.59
1/18/14,Queen Bee,189,"4,600","4,000","11,508","$14,833",312,2.71%,$1.29,$47.54
1/19/14,Z Force,486,"2,634","1,747","8,334","$9,947",578,6.94%,$1.19,$17.21
1/19/14,Ranger Danger,"1,296","5,752","4,352","17,674","$11,699","1,065",6.03%,$0.66,$10.98
1/19/14,Queen Bee,195,"4,661","3,940","11,635","$12,087",234,2.01%,$1.04,$51.66
1/20/14,Z Force,440,"2,544","1,594","7,858","$8,694",509,6.48%,$1.11,$17.08
1/20/14,Ranger Danger,"1,238","5,764","4,151","17,341","$11,956","1,046",6.03%,$0.69,$11.43
1/20/14,Queen Bee,230,"4,165","3,579","11,226","$11,689",238,2.12%,$1.04,$49.11
1/21/14,Z Force,364,"2,182","1,248","7,112","$5,303",335,4.71%,$0.75,$15.83
1/21/14,Ranger Danger,"1,560","5,607","3,870","16,837","$10,627",881,5.23%,$0.63,$12.06
1/21/14,Queen Bee,217,"4,111","3,548","11,209","$7,495",172,1.53%,$0.67,$43.57
1/22/14,Z Force,310,"2,033","1,075","6,629","$4,872",294,4.44%,$0.73,$16.57
1/22/14,Ranger Danger,"1,220","5,366","3,598","15,313","$9,144",745,4.87%,$0.60,$12.27
1/22/14,Queen Bee,195,"4,028","3,482","11,091","$7,188",162,1.46%,$0.65,$44.37
1/23/14,Z Force,296,"2,030","1,092","6,811","$5,638",318,4.67%,$0.83,$17.73
1/23/14,Ranger Danger,489,"3,668","1,874","12,261","$26,165","1,160",9.46%,$2.13,$22.56
1/23/14,Queen Bee,194,"3,954","3,345","10,921","$4,691",131,1.20%,$0.43,$35.81
1/24/14,Z Force,592,"2,233","1,251","7,449","$6,295",369,4.95%,$0.85,$17.06
1/24/14,Ranger Danger,"1,729","4,541","2,730","15,981","$24,264","1,415",8.85%,$1.52,$17.15
1/24/14,Queen Bee,184,"3,729","3,094","10,695","$6,249",177,1.66%,$0.58,$35.30
1/25/14,Z Force,435,"2,631","1,641","8,008","$7,055",406,5.07%,$0.88,$17.38
1/25/14,Ranger Danger,826,"5,175","3,744","17,011","$22,822","1,525",8.97%,$1.34,$14.97
1/25/14,Queen Bee,210,"4,409","3,812","11,144","$5,815",178,1.60%,$0.52,$32.67
1/26/14,Z Force,398,"2,542","1,627","7,790","$6,755",413,5.30%,$0.87,$16.35
1/26/14,Ranger Danger,"1,303","5,358","3,845","17,381","$17,953","1,373",7.90%,$1.03,$13.08
1/26/14,Queen Bee,185,"4,423","3,721","11,225","$4,980",162,1.44%,$0.44,$30.74
1/27/14,Z Force,329,"2,121","1,269","6,967","$5,900",351,5.04%,$0.85,$16.81
1/27/14,Ranger Danger,"1,499","4,996","3,434","16,434","$14,622","1,148",6.99%,$0.89,$12.74
1/27/14,Queen Bee,226,"3,921","3,387","10,714","$4,131",123,1.15%,$0.39,$33.59
1/28/14,Z Force,334,"2,077","1,095","6,755","$6,148",342,5.06%,$0.91,$17.98
1/28/14,Ranger Danger,"1,035","5,046","3,291","16,012","$13,617","1,087",6.79%,$0.85,$12.53
1/28/14,Queen Bee,211,"3,293","2,746","10,618","$4,406",129,1.22%,$0.41,$34.15
1/29/14,Z Force,283,"1,870","1,066","6,337","$4,376",285,4.50%,$0.69,$15.35
1/29/14,Ranger Danger,"1,043","4,336","3,117","15,583","$14,089","1,082",6.94%,$0.90,$13.02
1/29/14,Queen Bee,155,"3,820","3,254","10,700","$4,102",125,1.17%,$0.38,$32.82
